File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
ec800.o,11.186514%,6198,3824,5866,0,332,3492
stm32l0xx_hal_uart.o,9.064000%,5022,0,5022,0,0,0
mc_p.l,8.860051%,4909,12,4764,133,12,0
control.o,7.670650%,4250,66,4184,0,66,0
lora.o,5.941595%,3292,76,3216,0,76,0
stm32l0xx_hal_rcc.o,4.591560%,2544,0,2544,0,0,0
printfa.o,4.162004%,2306,0,2306,0,0,0
mf_p.l,3.930982%,2178,0,2178,0,0,0
user_usart.o,3.559181%,1972,0,1972,0,0,0
stm32l0xx_hal_adc.o,3.071869%,1702,0,1702,0,0,0
user_iic.o,2.952749%,1636,64,1572,0,64,0
stm32l0xx_hal_tim.o,2.858896%,1584,0,1584,0,0,0
main.o,2.118904%,1174,316,858,0,316,0
stop.o,2.028661%,1124,0,1124,0,0,0
stm32l0xx_hal_rtc.o,2.017832%,1118,0,1118,0,0,0
stm32l0xx_hal_dma.o,1.700177%,942,0,942,0,0,0
usart.o,1.638812%,908,552,908,0,0,552
stm32l0xx_hal_gpio.o,1.548569%,858,0,858,0,0,0
_scanf.o,1.494423%,828,0,828,0,0,0
stm32l0xx_it.o,1.357254%,752,0,752,0,0,0
dma.o,1.335595%,740,4480,660,0,80,4400
adc.o,1.313937%,728,984,708,0,20,964
stm32l0xx_hal_rtc_ex.o,1.147890%,636,0,636,0,0,0
stm32l0xx_hal_rcc_ex.o,1.075696%,596,0,596,0,0,0
gpio.o,0.866332%,480,0,480,0,0,0
tim.o,0.765260%,424,128,424,0,0,128
stm32l0xx_hal_flash.o,0.736382%,408,24,408,0,0,24
dadd.o,0.649749%,360,0,360,0,0,0
_scanf_int.o,0.595603%,330,0,330,0,0,0
stm32l0xx_hal_cortex.o,0.508970%,282,0,282,0,0,0
rtc.o,0.476483%,264,84,256,0,8,76
ddiv.o,0.433166%,240,0,240,0,0,0
depilogue.o,0.425947%,236,0,236,0,0,0
stm32l0xx_hal_adc_ex.o,0.425947%,236,0,236,0,0,0
startup_stm32l071xx.o,0.397069%,220,2048,28,192,0,2048
stm32l0xx_hal.o,0.391654%,217,9,208,0,9,0
dmul.o,0.375411%,208,0,208,0,0,0
stm32l0xx_hal_flash_ex.o,0.368191%,204,0,204,0,0,0
fadd.o,0.321265%,178,0,178,0,0,0
_strtoul.o,0.299607%,166,0,166,0,0,0
m_ps.l,0.281558%,156,0,156,0,0,0
round.o,0.281558%,156,0,156,0,0,0
stm32l0xx_hal_pwr.o,0.281558%,156,0,156,0,0,0
ctype_o.o,0.254485%,141,0,8,133,0,0
stm32l0xx_hal_tim_ex.o,0.252680%,140,0,140,0,0,0
fepilogue.o,0.234632%,130,0,130,0,0,0
fdiv.o,0.223802%,124,0,124,0,0,0
drnd.o,0.223802%,124,0,124,0,0,0
fmul.o,0.220193%,122,0,122,0,0,0
strtol.o,0.202144%,112,0,112,0,0,0
uldiv.o,0.173266%,96,0,96,0,0,0
__dclz77c.o,0.173266%,96,0,96,0,0,0
strtok.o,0.137169%,76,4,72,0,4,0
dfixi.o,0.129950%,72,0,72,0,0,0
_sgetc.o,0.122730%,68,0,68,0,0,0
dfixul.o,0.115511%,64,0,64,0,0,0
__0sscanf.o,0.108292%,60,0,60,0,0,0
d2f.o,0.101072%,56,0,56,0,0,0
uidiv.o,0.079414%,44,0,44,0,0,0
scanf_char.o,0.079414%,44,0,44,0,0,0
ffixui.o,0.072194%,40,0,40,0,0,0
f2d.o,0.072194%,40,0,40,0,0,0
cdrcmple.o,0.072194%,40,0,40,0,0,0
cdcmple.o,0.072194%,40,0,40,0,0,0
strstr.o,0.072194%,40,0,40,0,0,0
idiv.o,0.072194%,40,0,40,0,0,0
stm32l0xx_hal_pwr_ex.o,0.072194%,40,0,40,0,0,0
system_stm32l0xx.o,0.070389%,39,4,2,33,4,0
llsshr.o,0.068585%,38,0,38,0,0,0
memseta.o,0.064975%,36,0,36,0,0,0
memcpya.o,0.064975%,36,0,36,0,0,0
init.o,0.064975%,36,0,36,0,0,0
llushr.o,0.061365%,34,0,34,0,0,0
llshl.o,0.057755%,32,0,32,0,0,0
stm32l0xx_hal_msp.o,0.057755%,32,0,32,0,0,0
handlers.o,0.054146%,30,0,30,0,0,0
_chval.o,0.054146%,30,0,30,0,0,0
dfltui.o,0.050536%,28,0,28,0,0,0
strcmp.o,0.050536%,28,0,28,0,0,0
strncpy.o,0.046926%,26,0,26,0,0,0
atoi.o,0.046926%,26,0,26,0,0,0
fflti.o,0.039707%,22,0,22,0,0,0
cfrcmple.o,0.036097%,20,0,20,0,0,0
cfcmple.o,0.036097%,20,0,20,0,0,0
strchr.o,0.036097%,20,0,20,0,0,0
strcpy.o,0.032487%,18,0,18,0,0,0
isspace_o.o,0.032487%,18,0,18,0,0,0
ffltui.o,0.025268%,14,0,14,0,0,0
strlen.o,0.025268%,14,0,14,0,0,0
errno.o,0.021658%,12,4,8,0,4,0
entry9a.o,0.014439%,8,0,8,0,0,0
entry2.o,0.014439%,8,0,8,0,0,0
stdout.o,0.007219%,4,4,0,0,4,0
entry5.o,0.007219%,4,0,4,0,0,0
entry12b.o,0.007219%,4,0,4,0,0,0
stm32l0xx_hal_uart_ex.o,0.003610%,2,0,2,0,0,0
