File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
dma.o,35.322872%,4480,740,660,0,80,4400
ec800.o,30.150595%,3824,6198,5866,0,332,3492
startup_stm32l071xx.o,16.147598%,2048,220,28,192,0,2048
adc.o,7.758417%,984,728,708,0,20,964
usart.o,4.352283%,552,908,908,0,0,552
main.o,2.491524%,316,1174,858,0,316,0
tim.o,1.009225%,128,424,424,0,0,128
rtc.o,0.662304%,84,264,256,0,8,76
lora.o,0.599227%,76,3292,3216,0,76,0
control.o,0.520382%,66,4250,4184,0,66,0
user_iic.o,0.504612%,64,1636,1572,0,64,0
stm32l0xx_hal_flash.o,0.189230%,24,408,408,0,0,24
mc_p.l,0.094615%,12,4909,4764,133,12,0
stm32l0xx_hal.o,0.070961%,9,217,208,0,9,0
strtok.o,0.031538%,4,76,72,0,4,0
stdout.o,0.031538%,4,4,0,0,4,0
errno.o,0.031538%,4,12,8,0,4,0
system_stm32l0xx.o,0.031538%,4,39,2,33,4,0
